gram	0	0	2	1	1	0	6	0.166667	0	97	128
bu	0	0	2	0.5	0	0	6	0.333333	1	117	120
de	0	0	2	1	0	0	6	0.333333	0	101	90
'u	0	0	3	0.333333	0	0	6	0.5	1	117	88
kon	0	0	3	0.666667	0	0	6	0.5	0	111	110
Ëen	0	0	3	1	0	0	6	0.5	0	101	120
sùis	0	0	2	0.5	0	0	6	0.666667	1	105	111
kem	0	0	2	1	0	0	6	0.666667	0	101	92
kl·	0	0	3	0.333333	0	0	6	0.833333	1	225	89
ve	0	0	3	0.666667	0	0	6	0.833333	0	101	99
si	0	0	3	1	0	0	6	0.833333	0	105	91
'en	0	0	2	0.5	0	1	6	1	1	101	90
tr	0	0	2	1	0	1	6	1	0	114	99
'a	1	0	1	1	1	0	7	0.142857	1	97	82
po	0	0	3	0.333333	0	0	7	0.285714	1	111	85
ËÌ	0	0	3	0.666667	0	0	7	0.285714	0	237	100
taË	0	0	3	1	0	0	7	0.285714	0	97	100
se	1	0	1	1	0	0	7	0.428571	1	101	86
po	0	0	5	0.2	0	0	7	0.571429	1	111	84
'u	0	0	5	0.4	0	0	7	0.571429	0	117	95
lo	0	0	5	0.6	0	0	7	0.571429	0	111	95
ûe	0	0	5	0.8	0	0	7	0.571429	0	101	101
ÚÌ	0	0	5	1	0	0	7	0.571429	0	237	86
'os	0	0	3	0.333333	0	0	7	0.714286	1	111	76
ta	0	0	3	0.666667	0	0	7	0.714286	0	97	88
tÚÌx	0	0	3	1	0	0	7	0.714286	0	237	75
pro	0	0	3	0.333333	0	0	7	0.857143	1	111	76
gra	0	0	3	0.666667	0	0	7	0.857143	0	97	81
m˙	0	0	3	1	0	0	7	0.857143	0	250	76
vi	0	0	2	0.5	0	1	7	1	1	105	74
pne	0	0	2	1	0	1	7	1	0	101	52
------------------------------------------											
vÌ	0	0	3	0.333333	1	0	4	0.25	1	237	99
sle	0	0	3	0.666667	1	0	4	0.25	0	101	136
dek	0	0	3	1	1	0	4	0.25	0	101	125
ne	0	0	3	0.333333	0	0	4	0.5	1	101	105
bu	0	0	3	0.666667	0	0	4	0.5	0	117	127
de	0	0	3	1	0	0	4	0.5	0	101	120
tak	1	0	1	1	0	0	4	0.75	1	97	107
pÿe	0	0	2	0.5	0	1	4	1	1	101	97
snÌ	0	0	2	1	0	1	4	1	0	237	112
jak	1	0	1	1	1	0	3	0.333333	1	97	108
jsme	1	0	1	1	0	0	3	0.666667	1	101	86
xùe	0	0	2	0.5	0	1	3	1	1	101	84
li	0	0	2	1	0	1	3	1	0	105	99
pro	0	0	3	0.333333	1	0	4	0.25	1	111	92
to	0	0	3	0.666667	1	0	4	0.25	0	111	111
ûe	0	0	3	1	1	0	4	0.25	0	101	104
ne	0	0	3	0.333333	0	0	4	0.5	1	101	91
m·	0	0	3	0.666667	0	0	4	0.5	0	225	100
me	0	0	3	1	0	0	4	0.5	0	101	103
ji	0	0	2	0.5	0	0	4	0.75	1	105	87
nÈ	0	0	2	1	0	0	4	0.75	0	233	88
'˙	0	0	3	0.333333	0	1	4	1	1	250	84
da	0	0	3	0.666667	0	1	4	1	0	97	78
je	0	0	3	1	0	1	4	1	0	101	61
------------------------------------------											
sO	0	0	2	0.5	1	0	3	0.333333	1	79	128
bor	0	0	2	1	1	0	3	0.333333	0	111	150
je	1	0	1	1	0	0	3	0.666667	1	101	86
'u	0	0	3	0.333333	0	1	3	1	1	117	88
lo	0	0	3	0.666667	0	1	3	1	0	111	84
ûen	0	0	3	1	0	1	3	1	0	101	90
pro	0	0	2	0.5	1	0	3	0.333333	1	111	125
gram	0	0	2	1	1	0	3	0.333333	0	97	124
bu	0	0	2	0.5	0	0	3	0.666667	1	117	114
de	0	0	2	1	0	0	3	0.666667	0	101	85
'u	0	0	3	0.333333	0	1	3	1	1	117	101
