E{ 0 0
ED 7 87
Ed 10 126
EF 12 149
EG 12 157
EH 9 109
EJ 7 83
EK 13 167
EL 9 109
El 0 0
E\ 9 109
EM 9 118
EN 11 137
En 10 131
EP 13 159
ER 7 94
Er 13 165
ES 11 138
Es 16 198
ET 11 140
Et 11 144
EV 7 95
EW 0 0
EX 15 195
EZ 15 190
Ez 12 154
E' 0 0
E, 0 0
EA 0 0
EE 8 102
EI 0 0
EO 0 0
EU 0 0
IB 11 139
IC 15 193
Ic 13 170
I[ 0 0
I{ 0 0
ID 7 94
Id 0 0
IF 10 132
IG 14 173
IH 10 128
IJ 5 67
IK 15 188
IL 8 98
Il 0 0
I\ 8 104
IM 11 135
IN 8 97
In 0 0
IP 18 222
IR 10 127
Ir 18 234
IS 13 167
Is 15 186
IT 11 135
It 16 208
IV 6 79
IW 0 0
IX 13 161
IZ 8 104
Iz 15 194
I' 0 0
I, 0 0
IA 0 0
IE 0 0
II 7 84
IO 0 0
IU 0 0
OB 11 139
OC 14 172
Oc 13 166
O[ 0 0
O{ 0 0
OD 9 115
Od 0 0
OF 12 149
OG 0 0
OH 14 172
OJ 11 137
OK 10 125
OL 7 92
Ol 0 0
O\ 8 104
OM 10 128
ON 13 168
On 17 218
OP 17 217
OR 7 92
Or 10 128
OS 14 181
Os 0 0
OT 15 190
Ot 15 191
OV 8 102
OW 0 0
OX 0 0
OZ 9 120
Oz 15 190
O' 0 0
O, 0 0
OA 0 0
OE 0 0
OI 0 0
OO 7 94
OU 9 116
UB 0 0
UC 12 158
Uc 0 0
U[ 0 0
U{ 0 0
UD 11 135
Ud 0 0
UF 15 193
UG 11 135
UH 6 81
UJ 6 79
UK 14 184
UL 10 133
Ul 0 0
U\ 12 152
UM 8 97
UN 9 110
Un 4 48
UP 13 166
UR 8 98
Ur 7 92
US 11 135
Us 14 183
UT 16 203
Ut 0 0
UV 6 77
UW 0 0
UX 0 0
UZ 10 121
Uz 11 136
U' 0 0
U, 0 0
UA 9 114
UE 13 159
UI 0 0
UO 0 0
